person_id,home_ownership_id,loan_intent_id,loan_grade_id,loan_status_id,loan_amnt,loan_int_rate,loan_percent_income
77,1,4,2,1,28000,9.91,0.32
78,2,1,3,1,4200,13.48,0.35
79,2,6,4,1,4750,7.14,0.4
80,1,4,1,1,28000,15.99,0.34
81,1,2,3,2,18000,12.98,0.07
82,1,4,3,2,4800,13.57,0.02
83,1,6,2,2,28000,12.69,0.28
84,1,2,4,2,28000,8.9,0.25
85,2,6,4,1,2700,0.0,0.23
86,1,2,2,1,28000,0.0,0.26
87,1,6,2,2,28000,11.11,0.19
88,1,5,4,1,27600,0.0,0.4
89,3,6,5,1,3250,15.68,0.27
90,1,2,3,1,27500,13.06,0.39
91,2,1,2,2,25000,0.0,0.1
92,1,4,1,1,27050,15.62,0.37
93,1,1,3,1,27000,13.49,0.33
94,1,4,1,1,27000,0.0,0.37
95,1,3,2,1,26000,11.71,0.42
96,1,2,2,2,25600,12.69,0.21
97,2,3,3,2,1600,13.57,0.13
98,1,4,2,1,25475,10.99,0.42
99,3,3,3,2,20000,14.27,0.09
100,2,5,2,2,20000,8.88,0.09
101,3,5,2,2,21600,12.18,0.09
102,3,6,1,1,11900,14.42,0.05
103,3,3,3,2,25000,14.17,0.11
104,3,3,3,2,35000,13.99,0.15
105,1,2,2,1,25300,10.99,0.3
106,3,1,4,1,2000,5.42,0.16
107,2,1,3,2,1750,13.61,0.14
108,1,2,3,1,25000,12.73,0.59
109,1,5,1,1,25000,0.0,0.61
110,2,6,3,1,3000,12.87,0.23
111,3,5,2,1,3650,9.91,0.28
112,3,5,2,2,20000,11.49,0.09
113,3,5,5,2,30000,19.91,0.13
114,3,2,2,1,35000,10.65,0.16
115,1,3,2,2,6000,0.0,0.03
116,3,6,2,1,4500,11.83,0.35
117,2,6,3,1,2400,13.49,0.18
118,1,3,1,1,25000,14.59,0.6
119,1,2,2,1,25000,9.64,0.52
120,2,3,1,1,3600,14.59,0.28
121,2,2,2,1,4750,0.0,0.37
122,1,2,5,1,25000,16.35,0.59
123,1,2,2,1,25000,10.99,0.51
124,3,4,6,2,25000,18.67,0.11
125,1,2,4,2,3000,9.32,0.01
126,1,6,4,2,7500,8.63,0.03
127,3,4,2,2,25000,10.08,0.11
128,1,1,2,1,25000,11.83,0.51
129,1,6,4,1,25000,7.9,0.5
130,1,5,4,1,25000,5.99,0.5
131,1,6,1,1,25000,15.33,0.57
132,1,4,2,1,25000,11.83,0.5
133,1,4,2,1,25000,10.36,0.5
134,1,4,3,1,25000,12.23,0.5
135,1,2,2,1,25000,11.11,0.48
136,2,6,4,1,4950,7.9,0.38
137,3,2,2,2,25000,11.58,0.11
138,3,6,4,2,21000,8.9,0.1
139,3,2,1,2,25000,16.07,0.12
140,3,2,3,2,20000,14.22,0.09
141,3,3,3,2,35000,14.79,0.16
142,3,2,4,2,12000,7.88,0.06
143,1,1,3,1,25000,13.22,0.48
144,1,6,1,1,25000,11.86,0.54
145,1,2,3,1,25000,13.43,0.47
146,1,5,1,1,25000,15.28,0.53
147,1,4,5,1,25000,17.93,0.53
148,3,2,2,2,1400,9.25,0.11
149,2,4,3,1,4500,12.98,0.34
150,3,4,2,2,16000,10.62,0.08
151,2,1,2,2,22000,11.83,0.1
152,1,4,6,1,25000,18.43,0.52
153,1,2,2,1,25000,0.0,0.45
154,1,5,1,1,25000,0.0,0.45
155,1,2,2,1,25000,11.36,0.45
156,1,2,1,1,25000,15.65,0.45
157,1,1,3,1,25000,13.22,0.45
158,1,6,3,1,25000,12.87,0.45
159,2,3,3,2,20000,13.04,0.1
160,3,2,6,1,22000,17.58,0.12
161,2,1,5,1,7750,17.04,0.56
162,1,1,2,1,25000,10.99,0.42
163,1,1,2,1,25000,11.11,0.42
164,1,6,1,1,25000,14.83,0.46
165,2,6,1,1,4000,0.0,0.29
166,1,3,2,2,12000,12.69,0.06
167,3,5,3,2,12000,13.49,0.06
168,3,2,3,2,16000,14.65,0.08
169,1,5,5,1,25000,16.82,0.46
170,1,1,3,1,25000,12.73,0.42
171,1,1,2,1,25000,10.25,0.42
172,1,2,2,1,25000,10.99,0.42
173,1,3,3,1,25000,12.73,0.4
174,1,5,1,1,25000,14.96,0.44
175,3,2,4,2,28000,0.0,0.14
176,3,6,3,2,25000,13.99,0.13
177,3,4,4,2,24000,7.49,0.12
178,3,2,3,2,15000,14.79,0.07
179,3,6,2,2,15500,11.99,0.08
180,1,2,4,2,10000,8.49,0.05
181,1,2,2,1,25000,9.91,0.38
182,1,2,3,1,25000,13.06,0.38
183,3,6,4,2,9000,6.17,0.04
184,3,2,2,2,6000,11.86,0.03
185,1,2,1,2,18000,16.32,0.09
186,3,4,2,2,12000,10.38,0.06
187,3,1,3,2,23050,14.35,0.12
188,3,6,2,2,20000,0.0,0.1
189,1,6,5,1,25000,0.0,0.42
190,2,5,2,1,3000,0.0,0.21
191,1,1,1,1,25000,15.21,0.37
192,1,2,4,1,25000,7.9,0.37
193,1,4,2,1,25000,10.99,0.37
194,1,1,1,1,25000,14.09,0.37
195,1,1,1,1,25000,17.49,0.36
196,3,2,2,2,12000,11.48,0.06
197,3,4,5,1,20000,17.74,0.11
198,3,1,3,2,3000,13.92,0.01
199,1,2,1,1,25000,15.21,0.36
200,2,3,2,1,4000,10.99,0.28
201,1,2,2,1,25000,11.86,0.36
202,2,1,4,1,6000,7.49,0.42
203,1,3,1,1,25000,16.49,0.38
204,1,4,1,1,25000,15.33,0.38
205,1,5,2,1,25000,11.58,0.38
206,2,2,4,1,5375,5.79,0.37
207,1,3,3,1,25000,13.11,0.34
208,1,3,2,1,25000,10.36,0.34
209,1,6,2,1,25000,10.36,0.33
210,1,3,3,2,22000,0.0,0.11
211,3,4,4,2,20000,6.54,0.1
212,3,3,2,2,10000,12.53,0.05
213,3,1,4,2,15000,0.0,0.08
214,3,4,3,2,10000,0.0,0.05
215,1,2,2,1,25000,10.25,0.33
216,1,2,1,1,25000,15.95,0.35
217,3,4,2,2,20000,12.18,0.11
218,2,1,2,2,24000,11.83,0.13
219,1,6,3,1,25000,0.0,0.32
220,1,4,2,1,25000,10.62,0.32
221,1,4,2,1,25000,10.74,0.32
222,2,4,2,2,10000,10.25,0.05
223,3,2,2,2,35000,12.42,0.19
224,1,4,3,2,15000,15.27,0.08
225,1,3,1,1,25000,15.33,0.34
226,1,4,1,1,25000,15.21,0.31
227,2,4,3,1,6250,14.72,0.43
228,1,1,1,1,25000,15.7,0.31
229,1,2,3,1,25000,13.35,0.31
230,3,3,3,2,1500,0.0,0.1
231,1,2,4,1,25000,6.62,0.31
232,1,6,3,1,25000,13.61,0.31
233,1,3,2,2,25000,11.36,0.14
234,2,1,4,2,5000,7.68,0.03
235,1,5,1,2,22000,14.46,0.12
236,2,2,2,2,2500,11.83,0.01
237,3,6,3,1,20000,13.47,0.12
238,3,3,2,2,20000,11.49,0.11
239,3,2,4,2,1000,0.0,0.01
240,3,1,4,2,15000,6.03,0.08
241,1,6,5,1,25000,16.35,0.34
242,1,6,1,1,25000,0.0,0.34
243,1,6,4,1,25000,7.29,0.31
244,1,3,2,1,25000,11.36,0.31
245,1,4,2,2,25000,10.25,0.3
246,1,2,2,2,25000,11.12,0.3
247,1,1,1,2,25000,12.92,0.3
248,1,2,5,2,18000,18.64,0.1
249,3,1,4,2,28000,7.51,0.16
250,2,5,5,1,4000,16.7,0.28
251,2,1,2,2,2100,11.14,0.15
252,1,1,6,2,25000,18.3,0.3
253,1,3,2,2,25000,10.62,0.29
254,3,4,2,2,14000,11.99,0.08
255,3,4,2,2,12000,9.63,0.07
256,3,3,6,1,10000,18.25,0.06
257,3,6,3,1,6000,0.0,0.41
258,1,5,1,2,25000,14.84,0.29
259,1,4,5,1,25000,14.7,0.33
260,1,6,1,1,25000,16.02,0.33
261,1,3,1,1,25000,15.37,0.32
262,1,3,2,2,25000,10.99,0.28
263,2,5,4,1,6200,7.9,0.41
264,2,1,2,2,25000,10.99,0.14
265,2,2,2,2,21000,11.48,0.12
266,2,3,3,2,20000,14.26,0.11
267,2,5,4,2,10000,8.0,0.06
268,3,4,2,2,9950,11.26,0.06
269,2,3,2,1,4475,0.0,0.3
270,1,4,1,1,25000,16.32,0.32
271,1,3,5,1,25000,17.93,0.32
272,1,6,2,2,25000,11.36,0.28
273,1,6,1,1,25000,14.96,0.32
274,1,1,3,2,25000,13.43,0.27
275,1,5,2,2,25000,12.69,0.27
276,1,4,3,2,25000,12.73,0.27
277,1,4,1,2,25000,15.21,0.27
278,3,3,3,2,1750,12.68,0.12
279,1,3,6,1,25000,19.04,0.3
280,1,6,1,1,25000,15.95,0.3
281,3,4,4,2,2600,8.9,0.01
282,3,5,4,2,8000,7.9,0.05
283,3,2,2,2,18000,0.0,0.1
284,3,1,2,2,21000,11.99,0.12
285,2,6,3,1,4000,13.98,0.27
286,2,4,2,1,4600,10.99,0.31
287,1,6,1,1,25000,15.58,0.28
288,1,3,2,1,25000,10.99,0.28
289,1,4,1,1,25000,14.96,0.28
290,2,5,1,2,1750,15.31,0.12
291,1,4,1,1,25000,15.65,0.28
292,1,4,2,2,25000,9.33,0.25
293,3,1,3,1,3600,13.47,0.24
294,1,1,2,2,25000,10.36,0.24
295,1,5,5,1,25000,16.77,0.27
296,1,6,1,1,25000,14.59,0.27
297,1,4,3,2,3500,11.91,0.02
298,3,2,4,2,7200,8.38,0.04
299,1,4,2,2,9000,10.59,0.05
300,3,6,3,2,8800,14.27,0.05
301,1,6,2,2,12000,12.53,0.07
302,3,6,5,1,25000,16.0,0.15
303,3,4,2,2,10000,11.71,0.06
304,2,5,3,1,3175,11.54,0.21
305,1,5,5,1,25000,15.68,0.26
306,3,2,2,2,1500,10.59,0.1
307,1,5,1,1,25000,12.61,0.26
308,1,1,3,2,25000,0.0,0.23
309,3,1,4,1,2800,8.49,0.18
310,1,1,1,1,30000,17.27,0.19
311,1,6,4,2,18000,8.9,0.1
312,3,3,2,2,10000,11.11,0.06
313,1,5,1,1,25000,14.59,0.16
314,1,4,2,2,13000,12.42,0.08
315,1,3,1,1,25000,0.0,0.26
316,1,5,1,2,25000,15.7,0.23
317,2,5,2,1,2500,12.53,0.16
318,1,3,1,1,5000,16.49,0.03
319,3,2,4,2,20000,7.49,0.12
320,1,6,1,1,25000,14.96,0.25
321,1,3,3,2,25000,12.73,0.22
322,1,2,2,2,25000,10.65,0.21
323,1,3,2,2,25000,10.74,0.21
324,1,2,2,2,25000,9.99,0.21
325,1,3,1,1,25000,15.33,0.23
326,2,4,4,2,1000,7.29,0.06
327,1,1,1,1,25000,15.05,0.23
328,1,1,2,2,25000,10.75,0.19
329,1,2,1,2,25000,16.02,0.19
330,1,4,2,2,25000,11.49,0.19
331,2,2,2,2,20000,12.53,0.12
332,3,4,3,2,12000,13.57,0.07
333,1,1,2,2,14000,11.14,0.08
334,1,3,3,2,24250,12.87,0.14
335,1,2,2,2,20000,11.58,0.12
336,1,5,2,2,1800,11.12,0.01
337,3,1,2,2,35000,10.65,0.21
338,1,6,2,2,25000,10.37,0.19
339,2,5,4,1,3300,6.39,0.21
340,1,1,1,2,25000,16.07,0.19
341,1,3,2,2,25000,10.62,0.19
342,2,4,6,1,3200,18.09,0.21
343,1,2,2,2,25000,11.36,0.19
344,1,6,2,2,25000,12.53,0.18
345,1,2,2,2,25000,9.99,0.17
346,1,2,2,2,25000,10.36,0.17
347,3,2,4,2,9600,5.99,0.06
348,3,6,1,1,24000,15.62,0.16
349,3,1,2,2,20000,10.37,0.12
350,3,5,6,2,25000,19.74,0.15
351,3,2,4,2,20000,6.91,0.12
352,2,3,4,1,6000,7.9,0.38
353,3,6,3,2,2275,13.06,0.14
354,2,1,4,2,2000,6.39,0.13
355,1,6,5,1,25000,14.93,0.17
356,3,3,3,1,5600,12.84,0.35
357,2,4,5,1,3625,17.14,0.23
358,3,4,4,1,5500,7.14,0.34
359,1,1,4,2,25000,8.9,0.14
360,2,1,2,2,2000,12.42,0.12
361,1,5,3,2,25000,12.68,0.14
362,1,1,3,2,25000,11.03,0.15
363,1,4,4,2,30000,7.9,0.19
364,3,3,2,2,35000,10.65,0.22
365,1,4,2,2,25000,11.86,0.11
366,2,1,4,1,5000,8.94,0.3
367,2,4,2,1,4375,9.63,0.27
368,1,1,3,1,24750,14.22,0.5
369,1,6,2,1,24750,9.33,0.41
370,1,3,3,2,24500,13.85,0.29
371,3,2,2,2,2000,10.65,0.12
372,1,3,2,2,24500,11.46,0.27
373,3,1,4,2,35000,7.66,0.22
374,3,4,5,2,12000,16.77,0.07
375,3,1,2,2,12000,9.63,0.07
376,1,1,3,2,25000,12.23,0.16
377,3,3,1,1,10000,14.09,0.07
378,1,1,3,1,24250,13.98,0.45
379,1,2,2,1,24250,10.62,0.39
380,3,6,4,1,3900,0.0,0.23
381,1,1,5,1,24250,17.56,0.35
382,1,3,1,1,24250,14.96,0.37
383,1,6,1,1,24250,15.65,0.33
384,1,3,1,1,24250,15.7,0.31
385,1,4,2,2,24250,12.53,0.27
386,1,5,5,1,24250,17.56,0.31
387,1,1,3,2,24250,12.87,0.24
388,1,1,1,2,24250,15.7,0.24
389,3,2,4,2,9000,0.0,0.06
390,2,4,2,2,15000,11.14,0.09
391,3,4,1,2,20000,16.0,0.13
392,3,2,1,2,25000,15.65,0.16
393,3,6,3,2,13750,0.0,0.09
394,3,4,1,2,15250,15.31,0.1
395,3,4,3,2,20000,13.47,0.13
396,3,5,3,1,4750,13.85,0.28
397,1,1,1,2,24250,0.0,0.22
398,3,4,2,1,6000,10.39,0.36
399,1,5,2,2,24250,11.36,0.21
400,1,2,2,2,24250,11.83,0.17
401,1,2,2,2,24250,12.53,0.08
402,1,5,1,1,24150,14.96,0.22
403,1,6,3,1,24000,13.85,0.56
404,1,4,2,1,24000,11.58,0.51
405,1,4,1,1,24000,16.29,0.5
406,1,3,4,1,24000,0.0,0.5
407,1,2,1,1,24000,16.29,0.53
408,1,1,2,1,24000,10.74,0.46
409,3,2,3,2,2250,15.27,0.13
410,1,1,6,1,24000,17.8,0.51
411,3,4,2,2,1000,11.36,0.06
412,1,3,5,1,24000,17.56,0.49
413,1,1,4,1,24000,7.9,0.4
414,1,1,2,1,24000,10.99,0.4
415,1,1,4,1,24000,7.29,0.4
416,1,3,2,1,24000,10.75,0.4
417,1,6,4,1,24000,7.9,0.39
418,1,2,1,1,24000,14.84,0.38
419,1,6,4,1,24000,0.0,0.37
420,3,2,3,1,4975,0.0,0.28
421,1,6,5,1,24000,19.69,0.41
422,1,4,4,1,24000,0.0,0.36
423,1,4,1,1,24000,14.96,0.4
424,1,2,4,1,24000,6.99,0.36
425,1,1,5,1,24000,16.45,0.39
426,1,2,2,1,24000,10.99,0.34
427,1,6,2,1,24000,10.99,0.32
428,2,1,4,1,3000,7.9,0.17
429,1,2,2,1,24000,12.69,0.32
430,1,3,2,1,24000,10.37,0.32
431,1,5,3,1,24000,0.0,0.32
432,1,6,6,1,24000,15.83,0.35
433,1,1,3,1,24000,13.92,0.31
434,2,4,2,2,2000,11.49,0.11
435,1,3,2,2,24000,10.25,0.3
436,2,5,4,1,3500,7.49,0.19
437,2,2,4,1,4000,5.99,0.22
438,1,1,1,1,24000,12.92,0.32
439,1,1,2,2,24000,11.58,0.27
440,1,2,4,2,24000,8.9,0.25
441,1,6,5,1,24000,19.69,0.29
442,1,4,4,2,24000,6.54,0.25
443,2,5,1,1,4900,14.54,0.27
444,2,2,2,1,5000,11.11,0.28
445,1,1,3,2,24000,12.73,0.24
446,1,4,1,2,24000,15.62,0.22
447,2,5,4,1,6250,6.54,0.35
448,1,6,6,1,24000,0.0,0.24
449,1,6,7,1,24000,20.03,0.23
450,1,2,2,2,24000,9.91,0.2
451,1,4,2,2,24000,12.69,0.2
452,1,2,7,1,24000,20.16,0.22
453,1,1,1,2,24000,16.49,0.19
454,3,3,1,1,2500,15.95,0.14
455,1,6,2,2,24000,11.49,0.18
456,1,1,2,2,24000,10.99,0.18
457,1,5,3,2,24000,13.79,0.18
458,1,3,7,1,24000,20.03,0.18
459,1,2,4,2,24000,7.49,0.16
460,1,6,1,1,24000,16.0,0.17
461,2,1,4,1,13000,7.88,0.72
462,2,4,2,1,6250,10.62,0.35
463,1,6,2,2,24000,10.99,0.15
464,1,2,6,1,24000,18.3,0.16
465,1,6,3,2,24000,0.0,0.14
466,2,1,2,2,2500,11.36,0.14
467,1,5,2,1,23975,0.0,0.55
468,1,3,3,2,23750,13.47,0.2
469,1,1,2,1,23600,11.89,0.43
470,3,6,2,1,10000,12.18,0.56
471,1,6,3,2,23600,13.49,0.23
472,1,1,5,1,23575,14.5,0.31
473,2,3,3,1,4000,0.0,0.22
474,2,3,1,1,5400,15.31,0.3
475,3,3,2,1,4000,0.0,0.22
476,2,4,2,1,3375,0.0,0.19
477,1,4,4,1,23400,7.49,0.35
478,1,1,3,1,23000,0.0,0.53
479,1,2,2,1,23000,0.0,0.41
480,1,4,2,1,23000,12.18,0.38
481,3,4,3,2,1200,11.34,0.07
482,1,2,2,1,23000,9.91,0.36
483,1,5,2,1,23000,11.99,0.35
484,1,2,2,1,23000,9.62,0.34
485,2,6,2,1,3000,9.96,0.17
486,1,4,3,2,23000,0.0,0.29
487,1,4,1,1,23000,14.54,0.26
488,1,3,2,1,22750,11.36,0.39
489,1,6,3,1,22500,14.27,0.32
490,2,5,2,1,3000,11.99,0.16
491,1,2,6,1,22500,18.99,0.32
492,1,4,5,1,22400,16.7,0.31
493,3,1,4,1,5000,9.32,0.27
494,1,6,2,1,22250,12.69,0.64
495,1,5,3,1,22000,13.11,0.51
496,1,1,2,1,22000,10.74,0.42
497,3,1,1,1,4200,14.11,0.22
498,1,2,2,1,22000,9.63,0.39
499,1,3,3,1,22000,14.65,0.38
500,1,6,2,1,22000,10.25,0.37
501,1,4,3,1,22000,14.26,0.37
502,3,2,2,1,3000,9.91,0.16
503,1,3,5,1,22000,17.19,0.39
504,1,2,2,1,22000,11.36,0.31
505,1,2,6,1,22000,0.0,0.33
506,1,6,2,2,22000,10.59,0.3
507,1,2,2,2,22000,9.25,0.29
508,2,3,4,1,3625,8.49,0.19
509,1,4,4,2,22000,6.54,0.29
510,2,3,4,1,6000,8.49,0.32
511,1,3,4,2,22000,0.0,0.28
512,1,4,2,2,22000,12.69,0.27
513,2,3,3,1,7400,13.85,0.39
514,2,6,4,1,4000,7.4,0.21
515,1,6,2,2,22000,11.71,0.26
516,1,1,2,1,22000,11.48,0.28
517,1,2,5,1,22000,17.51,0.27
518,3,6,1,1,3500,14.61,0.18
519,1,6,4,2,22000,7.88,0.22
520,1,1,2,2,22000,0.0,0.2
521,3,1,2,1,4950,11.71,0.26
522,1,1,2,1,21700,11.99,0.38
523,1,4,3,1,21600,13.49,0.4
524,1,3,7,1,21600,21.21,0.39
525,1,6,3,1,21600,14.35,0.34
526,1,1,3,2,21600,13.61,0.26
527,1,6,2,1,21600,11.26,0.28
528,2,4,2,2,2400,10.59,0.13
529,1,3,4,2,21600,7.9,0.19
530,3,5,4,1,7000,5.99,0.36
531,2,2,2,1,3000,11.99,0.16
532,1,3,1,1,21500,16.89,0.36
533,1,5,2,1,21500,9.99,0.31
534,1,2,1,2,21500,15.33,0.19
535,1,2,4,1,21450,7.29,0.36
536,1,6,2,1,21250,12.42,0.69
537,1,4,2,1,21250,10.99,0.45
538,1,4,4,1,21250,6.91,0.42
539,3,6,3,1,5000,14.17,0.26
540,1,3,2,1,21250,10.25,0.4
541,2,2,2,1,9250,0.0,0.48
542,1,4,1,1,21250,15.95,0.38
543,1,2,1,1,21250,15.95,0.33
544,1,4,2,1,21000,12.53,0.6
545,3,5,1,1,1400,14.91,0.07
546,3,3,4,1,3000,0.0,0.16
547,1,3,4,1,21000,6.54,0.53
548,2,4,2,2,1000,0.0,0.05
549,1,3,6,1,21000,17.26,0.5
550,1,3,2,1,21000,11.36,0.33
551,3,4,4,1,4000,7.51,0.21
552,1,1,2,1,21000,10.71,0.36
553,1,1,3,2,21000,13.98,0.3
554,1,6,1,1,21000,14.09,0.32
555,1,2,2,2,21000,10.0,0.28
556,3,3,1,1,5000,15.33,0.26
557,1,3,5,1,21000,16.32,0.29
558,1,5,4,2,21000,7.9,0.27
559,1,3,2,2,21000,11.99,0.26
560,1,3,2,2,21000,10.75,0.25
561,1,5,3,2,21000,13.92,0.25
562,1,2,2,2,21000,9.91,0.23
563,1,2,5,1,21000,16.95,0.26
564,1,2,4,2,21000,7.9,0.22
565,1,2,3,2,21000,0.0,0.22
566,1,1,1,1,21000,16.49,0.21
567,4,1,3,1,7500,11.97,0.39
568,3,6,4,1,6250,6.17,0.32
569,1,5,4,2,21000,8.9,0.17
570,1,2,3,2,21000,12.99,0.17
571,1,1,2,2,20900,12.69,0.25
572,3,2,2,1,15000,9.64,0.77
573,1,4,4,1,20500,7.49,0.41
574,1,2,3,2,20500,13.16,0.29
575,2,2,4,2,2100,8.38,0.11
576,1,2,2,2,20400,10.25,0.25
577,1,1,4,1,20375,7.49,0.38
578,1,2,2,1,20050,9.76,0.77
579,1,6,2,1,20000,10.99,0.61
580,2,1,2,2,5000,11.71,0.25
581,2,1,2,2,9250,10.65,0.46
582,1,3,2,1,20000,12.53,0.57
583,1,3,1,1,20000,14.59,0.53
584,1,6,1,1,20000,12.61,0.63
585,1,3,3,1,20000,13.11,0.53
586,3,3,2,2,6400,10.65,0.32
587,1,1,3,1,20000,11.22,0.52
588,1,2,1,1,20000,16.0,0.61
589,1,5,2,1,20000,8.88,0.59
590,1,1,2,1,20000,12.53,0.5
591,1,3,1,1,20000,0.0,0.56
592,3,3,4,2,4800,5.99,0.24
593,1,2,3,1,20000,13.47,0.48
594,1,4,4,1,20000,6.99,0.47
595,2,1,1,2,5650,15.99,0.28
596,3,2,3,2,3625,0.0,0.18
597,1,6,5,1,20000,16.69,0.54
598,1,3,2,1,20000,11.11,0.53
599,1,2,4,1,20000,7.9,0.44
600,1,1,2,1,20000,10.25,0.44
601,1,3,5,1,20000,0.0,0.44
602,2,3,4,2,1200,7.49,0.06
603,1,6,3,1,20000,13.92,0.44
604,1,3,1,1,20000,14.74,0.51
605,1,2,2,1,20000,10.62,0.43
606,1,4,2,1,20000,10.65,0.42
607,1,1,1,1,20000,12.99,0.48
608,1,4,2,1,20000,11.36,0.41
609,2,2,4,2,7500,5.79,0.38
610,1,2,4,1,20000,6.54,0.4
611,3,4,4,2,4000,5.79,0.2
612,1,6,4,1,20000,7.49,0.4
613,1,2,3,1,20000,13.43,0.4
614,1,6,3,1,20000,13.22,0.4
615,2,4,3,2,5000,14.72,0.25
616,1,2,5,1,20000,15.68,0.45
617,1,3,2,1,20000,0.0,0.39
618,1,5,2,1,20000,11.48,0.39
619,1,4,2,1,20000,10.38,0.39
620,1,2,2,1,20000,12.53,0.39
621,1,2,3,1,20000,13.47,0.39
622,1,4,2,1,20000,12.21,0.39
623,1,4,2,1,20000,10.99,0.38
624,1,2,2,1,20000,11.36,0.38
625,1,6,1,1,20000,16.0,0.43
626,3,1,4,2,1500,7.74,0.07
627,1,2,1,1,20000,15.65,0.38
628,1,6,3,1,20000,11.78,0.43
629,1,5,2,1,20000,0.0,0.38
630,1,3,1,1,20000,16.77,0.43
631,1,2,2,1,20000,9.91,0.37
632,1,3,1,1,20000,15.65,0.42
633,1,3,1,1,20000,14.96,0.42
634,1,4,2,1,20000,11.83,0.37
635,1,3,3,1,20000,11.66,0.41
636,1,2,2,1,20000,12.18,0.36
637,1,5,4,1,20000,6.91,0.36
638,1,6,4,1,20000,6.91,0.36
639,1,5,6,1,20000,19.79,0.41
640,1,4,2,1,20000,9.88,0.36
641,3,1,2,2,16600,9.76,0.83
642,1,6,2,1,20000,12.53,0.36
643,1,4,2,1,20000,0.0,0.36
644,3,1,4,2,7125,6.99,0.36
645,1,2,1,1,20000,16.89,0.35
646,1,1,1,1,20000,17.49,0.39
647,3,2,5,2,2500,16.82,0.12
648,3,5,2,2,3600,0.0,0.18
649,1,6,3,1,20000,13.11,0.34
650,1,6,4,1,20000,7.66,0.34
651,1,3,4,1,20000,6.17,0.34
652,1,1,5,1,20000,16.35,0.38
653,1,3,4,1,20000,7.9,0.33
654,1,4,1,1,20000,16.49,0.37
655,2,4,4,2,3550,0.0,0.18
656,3,5,4,2,7000,8.0,0.35
657,1,1,2,1,20000,10.99,0.33
658,2,4,4,2,7750,6.91,0.38
659,1,1,2,1,20000,8.88,0.37
660,1,4,4,1,20000,0.0,0.33
661,1,6,1,1,20000,14.84,0.37
